FECHA_CORTE,DEPARTAMENTO,MUNICIPIO,GENERO,EDAD,ESTADO_FORMACION,CONVOCATORIA,NIVE_EDUCATIVO,ESTADOS,META_BENEFICIARIOS,INVERSION,FECHA_VIGENCIA
2020-01-20,CAUCA,POPAYAN,MASCULINO,56,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,FEMENINO,40,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,FEMENINO,40,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CAUCA,POPAYAN,NO REGISTRA,28,GRADUADO,3,SUPERIOR POSGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,CAUCA,POPAYAN,NO REGISTRA,28,GRADUADO,3,SUPERIOR POSGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,CAUCA,POPAYAN,NO REGISTRA,28,GRADUADO,3,SUPERIOR POSGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,CAQUETA,FLORENCIA,MASCULINO,30,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOYACA,TUNJA,NO REGISTRA,29,GRADUADO,3,SUPERIOR POSGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,SANTANDER,BUCARAMANGA,MASCULINO,49,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,SANTANDER,BUCARAMANGA,MASCULINO,49,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,SANTANDER,BUCARAMANGA,MASCULINO,49,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,SANTANDER,BUCARAMANGA,MASCULINO,49,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,ATLANTICO,BARRANQUILLA,FEMENINO,42,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
